File number, Database, Animal ID, Site, Mouse strain, Genotype, Gender, Age (months), Schedule name, Schedule run date,Day, Max number of trials, Max schedule time
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_,3/25/2014 16:36,1,0,1200
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_,3/26/2014 16:46,1,0,2400
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Habituation_2_,3/27/2014 14:23,1,0,1200
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Initial_Touch_Training_v3,3/28/2014 12:52,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Must_Touch_Training_v2,3/31/2014 15:57,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Must_Initiate_Training_v1,4/1/2014 16:20,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/2/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/3/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/4/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/7/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/8/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/9/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/11/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/14/2014 0:00,1,30,3600
,,gt01f001,UOG,5xFAD,t,F,4,5CSRTT_Punish_Incorrect_Training_v3,4/15/2014 0:00,1,30,3600
