 Animal ID, Site, Mouse strain, Genotype, Gender, Age (months), Schedule name, Schedule run date,Day, Week
 lt367a429, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt367a429, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt367a429, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt368a430, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt368a430, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt368a430, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt369a431, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt369a431, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt369a431, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt370a432, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt370a432, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt370a432, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt371a433, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt371a433, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt371a433, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt373a435, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt373a435, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt373a435, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt374a436, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt374a436, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt374a436, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt375a437, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt375a437, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt375a437, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
 lt376a438, UWO,APPPS1, t, M,4, Mouse PAL Initial Touch Training v3,20160204,1,1
 lt376a438, UWO,APPPS1, t, M,4, Mouse PAL Must Initiate Training v3,20160207,1,1
 lt376a438, UWO,APPPS1, t, M,4, Mouse PAL Must Touch Training v3,20160205,1,1
