 Database, Animal ID, Site, Mouse strain,Genotype, Gender, Age (months), Schedule name, Schedule run date, Day,DAY COUNTING, Max number of trials, Max schedule time, End Summary - Condition, End Summary - Trials Completed, End Summary - No Correction Trials, End Summary - % Correct, Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Correct touch latency (s), Mean Correct touch latency (s), std Correct touch latency (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Correct Reward Collection (s), Mean Correct Reward Collection (s), std Correct Reward Collection (s) 
 GUEPD3XTG3MF, gw64x114, Site 2, 3xTG-AD, B6129SF2/J ,Female,4, PD_Acquisition_1_v3,20150114,7,1,30,3600,3600,3,12,33.333,66.624,49.596, , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,1.467,8.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.984,3.516
 GUEPDAPP7MF, gw144a306, Site 2, APP-PS1, C57Bl6,Female,7, PD_Acquisition_2_v3,20160111,1,1,30,3600,3600,3,75,33.333,29.215,12.055, , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,2.087,1.384, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.736,0.352
 GUEPDAPP3MF, gw144a309, Site 2, APP-PS1, C57Bl6,Female,4, PD_Acquisition_1_v3,20151006,18,1,30,3600,3600.002,2,7,50,10.598, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,1.352, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.352,0
 LONPD5FAD3MM, lt385f447, Site 1, 5xFAD, 5xFAD,Male,4, PD_Acquisition_1_v3,20160317,4,1,30,3600,3600.032,2,9,50,11.423, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , nan, nan,1.333, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.333,0
 GUEPDAPP3MF, gw144a309, Site 2, APP-PS1, C57Bl6,Female,4, PD_Acquisition_1_v3,20150928,12,1,30,3600,3600,5,14,40,10.833,8.644,28.13,30.197, , , , , , , , , , , , , , , , , , , , , , , , , , ,8.644,0,1.846,2.782,1.49,2.422, , , , , , , , , , , , , , , , , , , , , , , , , , ,2.135,0.5
 GUEPDAPP3MF, gw144a309, Site 2, APP-PS1, C57Bl6,Female,4, PD_Acquisition_1_v3,20150915,3,1,30,3600,3600,9,36,11.111,9.183,5.921,13.2,8.236,11.394,8.022,14.05,8.89, , , , , , , , , , , , , , , , , , , , , , ,7.393,1.045,8.217,52.338,10.804,11.605,6.356,9.838,8.224,47.895, , , , , , , , , , , , , , , , , , , , , , ,7.599,0.879
 GUEPD5FAD3MF, gt178f425, Site 2, 5xFAD, 5xFAD,Female,4, PD_Acquisition_1_v3,20160314,6,1,30,3600,3600,20,19,60,8.368,11.053,21.214,15.211,12.276,87.896,20.986,12.914,12.254,17.662,30.641,43.259,10.84,6.199,29.577,71.148,25.242,11.993,29.481, , , , , , , , , , , ,7.284,1.085,33.665,3.447,20.179,4.7,41.486,1.914,10.44,17.901,5.945,6.416,5.446,24.196,60.664,18.747,102.129,2.082,11.332,99.124,22.04, , , , , , , , , , , ,4.279,1.69
 GUEPDAPP3MF, gw145a311, Site 2, APP-PS1, C57Bl6,Female,4, PD_Acquisition_1_v3,20150910,3,1,30,3600,3600,19,29,26.316,16.55,15.7,9.48,7.105,8.558,8.692,8.558,23.226,16.191,7.219,18.566,18.88,10.415,162.146,7.924,8.85,7.372,3.997,5.799, , , , , , , , , , , ,7.247,1.441,2.014,1.505,1.567,2.299,3.136,1.709,3.317,1.538,4.723,15.231,3.813,2.623,1.658,2.84,2.287,1.54,1.976,4.569,2.169, , , , , , , , , , , ,2.516,0.997
 GUEPDAPP3MF, gw145a311, Site 2, APP-PS1, C57Bl6,Female,4, PD_Acquisition_1_v3,20150918,9,1,30,3600,3600,12,17,25,33.04,7.01,8.422,16.615,20.415,4.955,8.535,15.691,18.767,26.41,12.376,10.735, , , , , , , , , , , , , , , , , , ,7.231,1.445,1.402,1.459,1.706,1.324,1.285,1.233,1.491,1.477,1.388,1.673,1.32,1.454, , , , , , , , , , , , , , , , , , ,1.434,0.138
 GUEPDAPP3MF, gw144a309, Site 2, APP-PS1, C57Bl6,Female,4, PD_Acquisition_1_v3,20150923,9,1,30,3600,3600.001,8,17,37.5,13.406,8.781,4.746,14.421,11.114,7.742,8.86, , , , , , , , , , , , , , , , , , , , , , , ,7.09,1.711,20.307,14.714,2.474,2.391,2.055,2.583,1.89, , , , , , , , , , , , , , , , , , , , , , , ,2.279,0.262
