 Database, Animal ID, Site, Mouse strain,Genotype, Gender, Age (months), Schedule name, Schedule run date, Day
 GUEPD3XTG3MF, gt66x120, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Initial_Touch_Training_v3,20141205,1
 GUEPD3XTG3MF, gt66x120, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Initiate_Training_v3,20141209,1
 GUEPD3XTG3MF, gt66x120, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Touch_Training_v3,20141208,1
 GUEPD3XTG3MF, gt66x120, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141210,1
 GUEPD3XTG3MF, gt66x120, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141211,2
 GUEPD3XTG3MF, gt66x121, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Initial_Touch_Training_v3,20141205,1
 GUEPD3XTG3MF, gt66x121, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Initiate_Training_v3,20141209,1
 GUEPD3XTG3MF, gt66x121, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Touch_Training_v3,20141208,1
 GUEPD3XTG3MF, gt66x121, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141210,1
 GUEPD3XTG3MF, gt66x121, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141211,2
 GUEPD3XTG3MF, gt66x121, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141212,3
 GUEPD3XTG3MF, gt66x122, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Initial_Touch_Training_v3,20141205,1
 GUEPD3XTG3MF, gt66x122, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Initiate_Training_v3,20141209,1
 GUEPD3XTG3MF, gt66x122, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Touch_Training_v3,20141208,1
 GUEPD3XTG3MF, gt66x122, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141210,1
 GUEPD3XTG3MF, gt66x122, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141211,2
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Initial_Touch_Training_v3,20141205,1
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Initiate_Training_v3,20141209,1
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Must_Touch_Training_v3,20141208,1
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141210,1
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141211,2
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141212,3
 GUEPD3XTG3MF, gt67x123, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Punish_Incorrect_Training_v3,20141218,4
 GUEPD3XTG3MF, gt67x124, Site 2, 3xTG-AD, 3xTG-AD,Female,4, PD_Initial_Touch_Training_v3,20141205,1
